pid,ad_title,target_age_group,target_gender,target_mood,target_weather
RNY171911,Men's Rain Jacket Classic,40-64,Male,Happy,rainy
CLD143889,Women's Insulated Vest,40-64,Female,Sad,cold
RNY467067,Senior Men's Waterproof Jacket,65+,Male,Sad,rainy
CLD355330,Women's Thermal Pants,18-39,Female,Sad,cold
CLD595484,Senior Men's Sweater Simple,65+,Male,Happy,cold
RNY492047,Girls Waterproof Top,Kids,Female,Angry,rainy
SNY459006,Senior Women's Swimming Bag,65+,Female,Happy,sunny
SNY939482,Kids Beach Volleyball Jacket,Kids,Male,neutral,sunny
CLD835928,Senior Men's Knit Suit,65+,Male,Angry,cold
SNY778264,Teen Boy Beach Jacket,10-18,Male,neutral,sunny
RNY483026,Women's Waterproof Jacket,18-39,Female,Angry,rainy
RNY453327,Men's Wet Weather Jacket,40-64,Male,Happy,rainy
RNY407646,Kids Water Resistant Suit,Kids,Male,Sad,rainy
RNY910176,Men's Waterproof Outfit,18-39,Male,Angry,rainy
SNY570836,Women's Summer Coat,18-39,Female,Angry,sunny
SNY823811,Girls Lightweight Shirt,Kids,Female,neutral,sunny
SNY718849,Teen Girl Cotton Outfit,10-18,Female,Happy,sunny
CLD415512,Teen Girl Insulated Blazer,10-18,Female,Happy,cold
RNY584469,Teen Girl Waterproof Bag,10-18,Female,Angry,rainy
SNY735984,Men's Sandals Sport,18-39,Male,Sad,sunny
SNY658065,Senior Women's Summer Shirt,65+,Female,neutral,sunny
RNY505041,Senior Men's Water Repellent Dress,65+,Male,Happy,rainy
RNY250806,Men's Wet Weather Bag,18-39,Male,Happy,rainy
SNY517568,Girls Flip Flops,Kids,Female,Sad,sunny
SNY630126,Senior Men's Swimming Dress,65+,Male,Happy,sunny
RNY934924,Kids Umbrella Basic,Kids,Male,Sad,rainy
SNY255607,Kids Sun Hat Simple,Kids,Male,neutral,sunny
RNY368079,Senior Men's Waterproof Dress,65+,Male,Sad,rainy
SNY410016,Women's Sun Hat Basic,18-39,Female,Sad,sunny
RNY606511,Senior Men's Raincoat Elegant,65+,Male,Angry,rainy
SNY347130,Girls Beach Top,Kids,Female,Sad,sunny
RNY828296,Men's Wet Weather Skirt,18-39,Male,neutral,rainy
SNY336490,Women's Tennis Blazer,40-64,Female,Happy,sunny
SNY254586,Men's Swimming Vest,18-39,Male,neutral,sunny
SNY473818,Teen Girl Swimming Skirt,10-18,Female,Happy,sunny
CLD543366,Women's Parka Designer,18-39,Female,Angry,cold
SNY732552,Teen Girl Linen Blazer,10-18,Female,neutral,sunny
SNY361897,Teen Girl Sunglasses Premium,10-18,Female,Happy,sunny
CLD880438,Men's Winter Jacket Modern,18-39,Male,neutral,cold
RNY358838,Women's Water Repellent Top,18-39,Female,Angry,rainy
CLD969413,Women's Wool Blazer,18-39,Female,Angry,cold
RNY647933,Kids Rain Jacket Basic,Kids,Male,Angry,rainy
SNY121869,Women's Beach Hoodie,40-64,Female,Sad,sunny
SNY835132,Teen Boy Cycling Jersey,10-18,Male,neutral,sunny
RNY936941,Kids Raincoat Designer,Kids,Male,Happy,rainy
SNY397058,Girls Linen Coat,Kids,Female,Sad,sunny
CLD458939,Teen Girl Winter Jacket Modern,10-18,Female,Sad,cold
RNY600234,Kids Water Resistant Shoes,Kids,Male,neutral,rainy
CLD248384,Women's Sweater Formal,40-64,Female,neutral,cold
SNY352194,Women's Sandals Trendy,40-64,Female,Happy,sunny
CLD562936,Teen Girl Beanie Formal,10-18,Female,Happy,cold
SNY365959,Kids Linen Skirt,Kids,Male,Happy,sunny
SNY745092,Girls Tennis Dress,Kids,Female,Happy,sunny
SNY526962,Men's Lightweight Shirt,40-64,Male,Sad,sunny
SNY801534,Men's Summer Vest,18-39,Male,Happy,sunny
SNY746850,Senior Men's Cotton Skirt,65+,Male,Angry,sunny
CLD266925,Senior Men's Winter Jacket Formal,65+,Male,neutral,cold
RNY956700,Women's Water Resistant Coat,40-64,Female,neutral,rainy
RNY931677,Men's Umbrella Elegant,18-39,Male,Happy,rainy
SNY405221,Teen Boy Beach Volleyball Vest,10-18,Male,neutral,sunny
SNY284055,Senior Men's Sunglasses Sport,65+,Male,Angry,sunny
SNY536476,Girls Sunglasses Formal,Kids,Female,Angry,sunny
CLD948967,Teen Girl Fleece Dress,10-18,Female,Angry,cold
CLD742115,Senior Men's Parka Simple,65+,Male,neutral,cold
CLD841014,Kids Fleece Outfit,Kids,Male,Sad,cold
CLD617861,Teen Girl Parka Elegant,10-18,Female,Sad,cold
SNY225052,Women's Lightweight Hoodie,40-64,Female,Happy,sunny
RNY870643,Girls Raincoat Trendy,Kids,Female,Sad,rainy
RNY485041,Men's Waterproof Vest,18-39,Male,Happy,rainy
CLD847546,Teen Boy Gloves Simple,10-18,Male,neutral,cold
RNY766443,Girls Rain Boots Classic,Kids,Female,Sad,rainy
RNY858345,Girls Water Resistant Shirt,Kids,Female,neutral,rainy
SNY225701,Teen Girl Tennis Pants,10-18,Female,Angry,sunny
CLD983740,Teen Girl Insulated Bag,10-18,Female,neutral,cold
SNY804318,Men's Sun Hat Casual,18-39,Male,Sad,sunny
SNY256294,Men's Beach Coat,40-64,Male,Happy,sunny
SNY922405,Senior Men's Linen Outfit,65+,Male,neutral,sunny
SNY486649,Women's Summer Shirt,18-39,Female,neutral,sunny
SNY593091,Kids Lightweight Outfit,Kids,Male,Angry,sunny
RNY649795,Teen Boy Waterproof Dress,10-18,Male,Sad,rainy
SNY180111,Teen Boy Sun Hat Trendy,10-18,Male,Happy,sunny
CLD567987,Girls Thermal Shoes,Kids,Female,Happy,cold
RNY951853,Teen Girl Rain Jacket Trendy,10-18,Female,Happy,rainy
RNY102297,Senior Men's Rain Boots Casual,65+,Male,Angry,rainy
RNY726747,Teen Boy Water Repellent Suit,10-18,Male,Angry,rainy
CLD259564,Women's Wool Shoes,18-39,Female,Angry,cold
RNY133846,Kids Wet Weather Top,Kids,Male,Angry,rainy
RNY822221,Men's Rain Boots Premium,18-39,Male,neutral,rainy
RNY653647,Senior Women's Water Repellent Blazer,65+,Female,neutral,rainy
RNY439327,Teen Girl Water Repellent Vest,10-18,Female,Happy,rainy
CLD300793,Teen Boy Fleece Top,10-18,Male,neutral,cold
CLD731714,Men's Thermal Jacket,40-64,Male,Angry,cold
CLD785981,Women's Winter Jacket Casual,40-64,Female,Angry,cold
CLD425804,Senior Women's Sweater Casual,65+,Female,Sad,cold
SNY635205,Senior Women's Sandals Simple,65+,Female,Angry,sunny
CLD944577,Senior Men's Sweater Basic,65+,Male,Angry,cold
CLD456043,Women's Fleece Pants,40-64,Female,Sad,cold
CLD562841,Teen Boy Gloves Trendy,10-18,Male,neutral,cold
SNY922366,Teen Girl Sunglasses Trendy,10-18,Female,Sad,sunny
CLD869420,Senior Men's Winter Jacket Premium,65+,Male,neutral,cold
RNY463813,Girls Rain Jacket Simple,Kids,Female,Sad,rainy
SNY739717,Men's Cycling Jersey,40-64,Male,Sad,sunny
SNY417543,Girls Cotton Blazer,Kids,Female,neutral,sunny
CLD815960,Girls Gloves Formal,Kids,Female,Angry,cold
CLD353545,Senior Women's Winter Jacket Trendy,65+,Female,Sad,cold
RNY892621,Men's Rain Jacket Elegant,40-64,Male,Angry,rainy
SNY559259,Girls Beach Blazer,Kids,Female,neutral,sunny
SNY860863,Teen Girl Sun Hat Simple,10-18,Female,Angry,sunny
SNY444815,Senior Women's Sandals Modern,65+,Female,Angry,sunny
CLD561554,Girls Gloves Trendy,Kids,Female,neutral,cold
CLD929689,Girls Wool Vest,Kids,Female,neutral,cold
RNY141820,Teen Girl Water Repellent Shoes,10-18,Female,Happy,rainy
CLD375872,Kids Gloves Trendy,Kids,Male,Angry,cold
SNY600318,Senior Men's Cotton Top,65+,Male,neutral,sunny
RNY438054,Teen Girl Waterproof Jacket,10-18,Female,Sad,rainy
SNY303941,Kids Summer Dress,Kids,Male,Sad,sunny
RNY393622,Men's Raincoat Trendy,18-39,Male,Sad,rainy
SNY414777,Senior Women's Flip Flops,65+,Female,Sad,sunny
CLD211489,Senior Women's Winter Jacket Classic,65+,Female,neutral,cold
RNY954400,Senior Women's Water Resistant Hoodie,65+,Female,neutral,rainy
RNY715422,Women's Water Repellent Skirt,40-64,Female,neutral,rainy
SNY252716,Women's Sunglasses Basic,18-39,Female,neutral,sunny
RNY370002,Teen Boy Rain Jacket Formal,10-18,Male,Happy,rainy
CLD168483,Men's Fleece Hoodie,40-64,Male,Happy,cold
SNY163660,Men's Cotton Pants,18-39,Male,Angry,sunny
RNY929078,Senior Men's Wet Weather Shoes,65+,Male,Angry,rainy
RNY741075,Women's Water Repellent Pants,18-39,Female,Sad,rainy
RNY774812,Teen Boy Wet Weather Pants,10-18,Male,Angry,rainy
CLD673567,Senior Men's Gloves Modern,65+,Male,Angry,cold
SNY581682,Senior Men's Beach Volleyball Shirt,65+,Male,Angry,sunny
CLD485460,Women's Sweater Elegant,18-39,Female,Angry,cold
SNY465603,Senior Men's Beach Shirt,65+,Male,Angry,sunny
SNY967800,Women's Beach Jacket,18-39,Female,neutral,sunny
CLD886476,Women's Wool Skirt,18-39,Female,neutral,cold
SNY121369,Kids Linen Bag,Kids,Male,Angry,sunny
CLD841194,Senior Women's Gloves Fashion,65+,Female,Happy,cold
RNY590043,Teen Girl Waterproof Shoes,10-18,Female,Happy,rainy
CLD129965,Teen Boy Sweater Designer,10-18,Male,Happy,cold
RNY801830,Men's Water Repellent Dress,18-39,Male,Happy,rainy
CLD893243,Senior Women's Parka Basic,65+,Female,Angry,cold
RNY838085,Senior Men's Water Repellent Suit,65+,Male,Happy,rainy
SNY465848,Senior Women's Beach Outfit,65+,Female,neutral,sunny
RNY949255,Senior Men's Raincoat Formal,65+,Male,Happy,rainy
RNY730117,Senior Women's Umbrella Basic,65+,Female,Sad,rainy
SNY814435,Senior Men's Sandals Casual,65+,Male,Sad,sunny
CLD463888,Teen Boy Wool Coat,10-18,Male,neutral,cold
RNY991854,Women's Storm Jacket,18-39,Female,Angry,rainy
CLD910113,Men's Insulated Vest,40-64,Male,Angry,cold
RNY602253,Kids Waterproof Backpack,Kids,Male,Happy,rainy
CLD126985,Men's Winter Boots,18-39,Male,Sad,cold
RNY425416,Senior Men's Water Resistant Bag,65+,Male,Angry,rainy
RNY191865,Senior Men's Rain Boots Casual,65+,Male,neutral,rainy
RNY483727,Kids Rain Boots Classic,Kids,Male,Sad,rainy
CLD670710,Teen Girl Sweater Simple,10-18,Female,Sad,cold
RNY568121,Teen Girl Umbrella Simple,10-18,Female,Angry,rainy
RNY991934,Girls Umbrella Basic,Kids,Female,Angry,rainy
CLD176325,Senior Women's Beanie Premium,65+,Female,Sad,cold
RNY969236,Girls Umbrella Premium,Kids,Female,neutral,rainy
CLD952771,Kids Parka Classic,Kids,Male,neutral,cold
RNY708728,Girls Umbrella Basic,Kids,Female,Happy,rainy
SNY447596,Men's Summer Hoodie,40-64,Male,neutral,sunny
RNY413461,Men's Rain Jacket Formal,40-64,Male,Angry,rainy
CLD131978,Teen Boy Beanie Modern,10-18,Male,neutral,cold
SNY555786,Kids Lightweight Skirt,Kids,Male,Sad,sunny
CLD878715,Men's Beanie Premium,40-64,Male,neutral,cold
CLD481126,Women's Knit Vest,18-39,Female,Sad,cold
SNY489967,Men's Linen Vest,18-39,Male,Sad,sunny
SNY943668,Senior Women's Summer Outfit,65+,Female,Sad,sunny
SNY928381,Senior Men's Lightweight Shoes,65+,Male,Happy,sunny
CLD749675,Men's Knit Bag,18-39,Male,Angry,cold
CLD728629,Girls Beanie Basic,Kids,Female,Happy,cold
SNY182424,Girls Beach Vest,Kids,Female,Happy,sunny
CLD463217,Senior Men's Wool Outfit,65+,Male,Sad,cold
SNY403527,Women's Sun Hat Trendy,18-39,Female,Happy,sunny
SNY629694,Kids Sandals Trendy,Kids,Male,neutral,sunny
CLD623288,Girls Fleece Shirt,Kids,Female,neutral,cold
SNY516209,Girls Linen Dress,Kids,Female,neutral,sunny
RNY770277,Men's Umbrella Elegant,40-64,Male,neutral,rainy
RNY758797,Teen Boy Wet Weather Dress,10-18,Male,Angry,rainy
CLD726598,Senior Women's Wool Shoes,65+,Female,Happy,cold
RNY276410,Women's Rain Jacket Formal,18-39,Female,Angry,rainy
RNY138272,Teen Boy Water Resistant Shirt,10-18,Male,Angry,rainy
SNY394169,Senior Men's Swimming Vest,65+,Male,neutral,sunny
CLD856523,Women's Fleece Bag,18-39,Female,neutral,cold
RNY777595,Girls Wet Weather Shoes,Kids,Female,neutral,rainy
CLD873972,Teen Girl Insulated Shoes,10-18,Female,Angry,cold
RNY376544,Women's Water Resistant Dress,40-64,Female,Angry,rainy
RNY510438,Women's Water Resistant Pants,18-39,Female,Happy,rainy
CLD837048,Men's Wool Blazer,18-39,Male,Happy,cold
SNY932143,Men's Beach Volleyball Shirt,40-64,Male,Angry,sunny
SNY966431,Senior Women's Beach Shoes,65+,Female,Sad,sunny
RNY403694,Senior Men's Water Resistant Hoodie,65+,Male,Sad,rainy
RNY263643,Teen Girl Rain Poncho,10-18,Female,Happy,rainy
RNY778473,Kids Rubber Boots,Kids,Male,neutral,rainy
CLD795027,Senior Women's Knit Suit,65+,Female,neutral,cold
RNY913493,Girls Rain Jacket Casual,Kids,Female,Sad,rainy
CLD329761,Men's Winter Jacket Sport,18-39,Male,Angry,cold
SNY723427,Men's Beach Volleyball Top,40-64,Male,Angry,sunny
CLD848006,Senior Women's Beanie Basic,65+,Female,Angry,cold
RNY692943,Teen Boy Water Repellent Shoes,10-18,Male,Happy,rainy
RNY358666,Men's Water Repellent Outfit,40-64,Male,Sad,rainy
RNY644544,Men's Water Resistant Vest,18-39,Male,neutral,rainy
SNY592516,Senior Women's Summer Coat,65+,Female,Sad,sunny
CLD613998,Men's Wool Pants,18-39,Male,Happy,cold
RNY623571,Senior Men's Water Repellent Blazer,65+,Male,Happy,rainy
SNY503803,Men's Sandals Sport,18-39,Male,Angry,sunny
SNY313013,Women's Linen Coat,40-64,Female,Happy,sunny
RNY876366,Men's Water Resistant Top,40-64,Male,neutral,rainy
SNY745058,Senior Women's Summer Outfit,65+,Female,neutral,sunny
CLD369825,Teen Boy Fleece Coat,10-18,Male,Sad,cold
RNY464610,Men's Water Resistant Coat,40-64,Male,Sad,rainy
RNY463688,Men's Rain Boots Formal,40-64,Male,Happy,rainy
SNY747351,Men's Sunglasses Trendy,40-64,Male,Sad,sunny
CLD949393,Senior Men's Insulated Suit,65+,Male,Happy,cold
CLD995318,Senior Women's Knit Vest,65+,Female,Sad,cold
SNY519369,Women's Sun Hat Simple,18-39,Female,neutral,sunny
RNY588151,Senior Men's Raincoat Fashion,65+,Male,Angry,rainy
RNY501237,Girls Rain Jacket Classic,Kids,Female,neutral,rainy
RNY663312,Senior Women's Rain Boots Modern,65+,Female,Angry,rainy
RNY118028,Senior Men's Waterproof Outfit,65+,Male,Happy,rainy
RNY909536,Kids Water Resistant Coat,Kids,Male,Happy,rainy
RNY515892,Men's Rain Boots Modern,40-64,Male,neutral,rainy
RNY534568,Men's Wet Weather Blazer,40-64,Male,Angry,rainy
RNY604976,Women's Waterproof Skirt,18-39,Female,Sad,rainy
CLD169582,Men's Parka Sport,40-64,Male,Angry,cold
CLD255199,Senior Women's Insulated Coat,65+,Female,Sad,cold
SNY636435,Senior Women's Sun Hat Modern,65+,Female,Angry,sunny
CLD322529,Men's Knit Bag,40-64,Male,Happy,cold
RNY852222,Men's Water Resistant Coat,18-39,Male,neutral,rainy
SNY234159,Teen Boy Beach Vest,10-18,Male,Sad,sunny
SNY695484,Women's Tennis Suit,40-64,Female,neutral,sunny
SNY261450,Girls Swimming Bag,Kids,Female,Happy,sunny
CLD180874,Senior Men's Parka Designer,65+,Male,Angry,cold
CLD644305,Men's Parka Premium,18-39,Male,Happy,cold
SNY728636,Senior Women's Summer Shoes,65+,Female,Angry,sunny
RNY712087,Senior Men's Umbrella Designer,65+,Male,neutral,rainy
RNY117447,Girls Splash Pants,Kids,Female,Sad,rainy
RNY563777,Kids Wet Weather Suit,Kids,Male,Happy,rainy
RNY266944,Kids Waterproof Blazer,Kids,Male,Happy,rainy
SNY808446,Senior Women's Sandals Trendy,65+,Female,neutral,sunny
CLD388891,Senior Men's Gloves Casual,65+,Male,neutral,cold
CLD874943,Women's Gloves Simple,40-64,Female,Sad,cold
CLD754386,Teen Girl Sweater Fashion,10-18,Female,Angry,cold
RNY448310,Teen Girl Umbrella Sport,10-18,Female,neutral,rainy
SNY790271,Senior Women's Lightweight Bag,65+,Female,Happy,sunny
SNY865416,Men's Beach Volleyball Hoodie,40-64,Male,Sad,sunny
CLD800483,Kids Wool Vest,Kids,Male,Happy,cold
SNY754643,Teen Boy Tennis Coat,10-18,Male,Sad,sunny
RNY263749,Girls Water Repellent Outfit,Kids,Female,Happy,rainy
CLD546678,Women's Fleece Blazer,18-39,Female,neutral,cold
SNY289440,Senior Men's Swimming Pants,65+,Male,Angry,sunny
CLD907845,Teen Boy Winter Jacket Elegant,10-18,Male,Angry,cold
SNY446954,Teen Boy Sun Hat Elegant,10-18,Male,Happy,sunny
RNY441944,Women's Water Resistant Hoodie,40-64,Female,Angry,rainy
SNY774588,Kids Linen Suit,Kids,Male,neutral,sunny
SNY697530,Women's Tennis Vest,18-39,Female,Angry,sunny
CLD861938,Girls Parka Modern,Kids,Female,Happy,cold
CLD576594,Senior Men's Fleece Pants,65+,Male,Sad,cold
CLD497581,Women's Beanie Basic,40-64,Female,Angry,cold
RNY203957,Women's Rain Boots Basic,40-64,Female,Angry,rainy
CLD823467,Senior Women's Knit Outfit,65+,Female,Angry,cold
SNY192756,Teen Girl Sun Hat Modern,10-18,Female,Angry,sunny
RNY522000,Senior Men's Waterproof Dress,65+,Male,Happy,rainy
CLD588121,Senior Men's Fleece Blazer,65+,Male,Angry,cold
CLD281778,Girls Insulated Shirt,Kids,Female,Happy,cold
CLD329411,Senior Men's Knit Vest,65+,Male,neutral,cold
CLD370750,Girls Knit Dress,Kids,Female,Sad,cold
RNY322173,Men's Galoshes,18-39,Male,Sad,rainy
RNY757080,Teen Boy Rain Boots Premium,10-18,Male,Sad,rainy
SNY616342,Women's Summer Dress,18-39,Female,Happy,sunny
RNY428421,Women's Waterproof Skirt,40-64,Female,Angry,rainy
CLD347078,Women's Winter Scarf,18-39,Female,neutral,cold
SNY827369,Men's Sunglasses Elegant,18-39,Male,Angry,sunny
RNY420630,Women's Wet Weather Skirt,18-39,Female,Angry,rainy
SNY458955,Women's Sandals Simple,40-64,Female,Angry,sunny
RNY360625,Girls Umbrella Fashion,Kids,Female,Angry,rainy
CLD474730,Women's Wool Coat,40-64,Female,Sad,cold
SNY542750,Women's Lightweight Pants,40-64,Female,Angry,sunny
SNY712957,Women's Sunglasses Elegant,40-64,Female,neutral,sunny
SNY962458,Senior Men's Sun Hat Casual,65+,Male,Angry,sunny
CLD117011,Teen Girl Parka Simple,10-18,Female,Angry,cold
RNY437322,Girls Waterproof Hoodie,Kids,Female,Happy,rainy
CLD758425,Women's Fleece Outfit,40-64,Female,Angry,cold
CLD297576,Men's Knit Dress,40-64,Male,Happy,cold
RNY221143,Women's Umbrella Classic,18-39,Female,neutral,rainy
CLD174376,Teen Girl Thermal Pants,10-18,Female,Sad,cold
RNY897694,Senior Women's Water Resistant Bag,65+,Female,neutral,rainy
RNY767861,Teen Boy Umbrella Premium,10-18,Male,neutral,rainy
CLD810265,Women's Gloves Fashion,40-64,Female,Happy,cold
RNY604161,Women's Umbrella Elegant,40-64,Female,Happy,rainy
RNY798331,Men's Water Repellent Coat,18-39,Male,Sad,rainy
CLD308412,Men's Beanie Designer,40-64,Male,Happy,cold
SNY560237,Teen Boy Lightweight Vest,10-18,Male,Sad,sunny
SNY401153,Kids Cotton Shirt,Kids,Male,neutral,sunny
RNY929431,Women's Splash Pants,18-39,Female,Sad,rainy
SNY828515,Women's Beach Volleyball Hoodie,40-64,Female,Angry,sunny
RNY734212,Teen Boy Umbrella Casual,10-18,Male,Happy,rainy
CLD441555,Men's Winter Jacket Simple,40-64,Male,Happy,cold
RNY828386,Senior Women's Waterproof Blazer,65+,Female,Sad,rainy
CLD987096,Men's Snow Boots,18-39,Male,Angry,cold
RNY583376,Girls Umbrella Fashion,Kids,Female,Sad,rainy
CLD438615,Men's Gloves Casual,18-39,Male,neutral,cold
SNY518568,Teen Girl Sandals Trendy,10-18,Female,Happy,sunny
CLD791346,Girls Insulated Bag,Kids,Female,neutral,cold
SNY282362,Women's Swimming Vest,40-64,Female,Happy,sunny
RNY795201,Women's Waterproof Shirt,18-39,Female,Angry,rainy
RNY994310,Teen Boy Waterproof Dress,10-18,Male,Angry,rainy
CLD650144,Teen Girl Wool Outfit,10-18,Female,Happy,cold
SNY324549,Women's Lightweight Suit,40-64,Female,Sad,sunny
RNY981373,Men's Galoshes,40-64,Male,neutral,rainy
CLD254384,Senior Women's Fleece Shirt,65+,Female,neutral,cold
CLD928243,Teen Boy Knit Bag,10-18,Male,Angry,cold
CLD662030,Senior Women's Thermal Hoodie,65+,Female,Sad,cold
RNY452560,Men's Rain Jacket Formal,18-39,Male,Angry,rainy
CLD116368,Kids Sweater Fashion,Kids,Male,Sad,cold
CLD845878,Men's Gloves Trendy,18-39,Male,Sad,cold
CLD266838,Teen Boy Beanie Casual,10-18,Male,Happy,cold
CLD433235,Girls Fleece Shoes,Kids,Female,Angry,cold
CLD953019,Kids Wool Shirt,Kids,Male,Angry,cold
SNY885884,Girls Tank Top,Kids,Female,neutral,sunny
CLD158320,Women's Thermal Outfit,40-64,Female,Angry,cold
CLD799516,Men's Beanie Simple,18-39,Male,Angry,cold
RNY928079,Men's Wet Weather Vest,40-64,Male,Happy,rainy
CLD536498,Men's Sweater Classic,40-64,Male,Sad,cold
CLD378267,Teen Girl Winter Jacket Classic,10-18,Female,Angry,cold
CLD170894,Teen Girl Snow Boots,10-18,Female,Happy,cold
RNY142594,Senior Men's Wet Weather Blazer,65+,Male,Sad,rainy
SNY537350,Senior Women's Beach Shoes,65+,Female,neutral,sunny
RNY326964,Senior Women's Water Repellent Shirt,65+,Female,neutral,rainy
RNY197419,Men's Waterproof Backpack,40-64,Male,Sad,rainy
CLD215574,Senior Women's Fleece Bag,65+,Female,neutral,cold
RNY461629,Senior Women's Water Repellent Dress,65+,Female,neutral,rainy
SNY904098,Senior Men's Flip Flops,65+,Male,Happy,sunny
RNY641020,Girls Rain Jacket Fashion,Kids,Female,Happy,rainy
SNY641358,Men's Cotton Hoodie,18-39,Male,neutral,sunny
SNY821401,Senior Men's Summer Hoodie,65+,Male,Angry,sunny
RNY312714,Teen Boy Waterproof Shoes,10-18,Male,neutral,rainy
SNY829222,Men's Tennis Hoodie,40-64,Male,neutral,sunny
CLD811696,Women's Fleece Skirt,18-39,Female,Happy,cold
SNY676510,Senior Men's Swimming Vest,65+,Male,Angry,sunny
RNY552709,Teen Boy Waterproof Outfit,10-18,Male,Happy,rainy
CLD334839,Girls Fleece Jacket,Kids,Female,Happy,cold
RNY506000,Men's Raincoat Fashion,40-64,Male,neutral,rainy
SNY897441,Women's Running Shorts,40-64,Female,neutral,sunny
SNY793211,Kids Cotton Hoodie,Kids,Male,neutral,sunny
RNY728411,Women's Raincoat Formal,18-39,Female,neutral,rainy
RNY786454,Women's Umbrella Fashion,40-64,Female,Sad,rainy
SNY181588,Men's Beach Pants,40-64,Male,Sad,sunny
CLD483833,Teen Boy Gloves Premium,10-18,Male,neutral,cold
SNY320989,Women's Summer Blazer,40-64,Female,Happy,sunny
RNY804906,Men's Rain Boots Fashion,18-39,Male,Sad,rainy
RNY356734,Teen Boy Raincoat Basic,10-18,Male,Happy,rainy
RNY106190,Teen Boy Waterproof Shirt,10-18,Male,Sad,rainy
RNY750160,Women's Wet Weather Outfit,40-64,Female,Angry,rainy
CLD801671,Kids Winter Jacket Simple,Kids,Male,Sad,cold
SNY740231,Women's Beach Shoes,40-64,Female,Happy,sunny
CLD186842,Girls Gloves Elegant,Kids,Female,Angry,cold
RNY147711,Senior Men's Waterproof Vest,65+,Male,Happy,rainy
RNY709888,Senior Women's Water Repellent Top,65+,Female,neutral,rainy
SNY811774,Teen Girl Lightweight Blazer,10-18,Female,Happy,sunny
RNY345613,Women's Wet Weather Dress,40-64,Female,Sad,rainy
RNY642047,Senior Women's Rain Boots Elegant,65+,Female,Happy,rainy
RNY129117,Teen Boy Water Resistant Hoodie,10-18,Male,neutral,rainy
SNY755674,Senior Men's Running Shorts,65+,Male,Happy,sunny
CLD666099,Girls Beanie Modern,Kids,Female,Happy,cold
RNY521084,Kids Rain Cover,Kids,Male,Sad,rainy
CLD208807,Men's Fleece Outfit,40-64,Male,Angry,cold
RNY774220,Kids Wet Weather Skirt,Kids,Male,Happy,rainy
SNY747288,Girls Sun Hat Modern,Kids,Female,neutral,sunny
RNY332459,Teen Boy Water Repellent Jacket,10-18,Male,Angry,rainy
SNY486785,Teen Boy Sunglasses Modern,10-18,Male,Sad,sunny
CLD874914,Women's Parka Elegant,40-64,Female,neutral,cold
SNY855898,Teen Boy Beach Volleyball Top,10-18,Male,Happy,sunny
RNY708286,Girls Umbrella Casual,Kids,Female,neutral,rainy
CLD118861,Women's Winter Jacket Basic,18-39,Female,neutral,cold
SNY245998,Teen Girl Cotton Suit,10-18,Female,neutral,sunny
CLD647577,Teen Boy Beanie Basic,10-18,Male,Angry,cold
SNY952657,Women's Flip Flops,18-39,Female,Happy,sunny
RNY229438,Teen Boy Rain Jacket Elegant,10-18,Male,Angry,rainy
SNY193280,Senior Women's Summer Shirt,65+,Female,Sad,sunny
SNY584141,Senior Women's Sun Hat Modern,65+,Female,Sad,sunny
RNY794809,Teen Girl Rain Jacket Sport,10-18,Female,Happy,rainy
RNY329416,Senior Women's Umbrella Simple,65+,Female,Sad,rainy
CLD864796,Men's Knit Bag,40-64,Male,Angry,cold
CLD378521,Men's Wool Outfit,18-39,Male,neutral,cold
CLD563496,Men's Wool Blazer,40-64,Male,Sad,cold
RNY772078,Kids Rain Boots Sport,Kids,Male,neutral,rainy
SNY849817,Teen Girl Cotton Outfit,10-18,Female,Angry,sunny
CLD369655,Men's Insulated Bag,18-39,Male,neutral,cold
RNY379947,Men's Waterproof Top,40-64,Male,Sad,rainy
SNY371226,Senior Men's Swimming Coat,65+,Male,Sad,sunny
RNY978285,Women's Rain Boots Modern,18-39,Female,Happy,rainy
SNY791354,Girls Sandals Premium,Kids,Female,Angry,sunny
CLD635536,Senior Women's Gloves Elegant,65+,Female,Sad,cold
CLD226542,Men's Knit Shirt,18-39,Male,neutral,cold
RNY980101,Men's Rain Jacket Basic,40-64,Male,Angry,rainy
CLD486515,Girls Parka Premium,Kids,Female,neutral,cold
RNY620551,Men's Umbrella Modern,18-39,Male,Angry,rainy
CLD712481,Senior Men's Gloves Simple,65+,Male,Sad,cold
SNY973349,Senior Women's Summer Skirt,65+,Female,neutral,sunny
RNY568019,Kids Storm Jacket,Kids,Male,Angry,rainy
CLD812575,Women's Insulated Top,18-39,Female,Angry,cold
SNY642347,Kids Sunglasses Simple,Kids,Male,neutral,sunny
SNY865263,Teen Girl Sandals Formal,10-18,Female,Angry,sunny
RNY561897,Senior Men's Rain Boots Sport,65+,Male,Sad,rainy
SNY282664,Teen Girl Swimming Jacket,10-18,Female,neutral,sunny
CLD321934,Kids Fleece Pants,Kids,Male,Angry,cold
RNY940482,Men's Waterproof Top,18-39,Male,neutral,rainy
SNY381850,Senior Men's Linen Jacket,65+,Male,neutral,sunny
SNY866278,Women's Tennis Skirt,18-39,Female,Happy,sunny
SNY797312,Teen Girl Sun Hat Fashion,10-18,Female,Happy,sunny
RNY969748,Teen Girl Wet Weather Blazer,10-18,Female,Sad,rainy
SNY247111,Senior Men's Sandals Sport,65+,Male,Angry,sunny
